"","id","message_time","volts","d/m/y","hdop","latitude","longitude","siv","h/m/s/cs"
"1","eui-70b3d57ed0044a2f","2021-09-08T00:13:04.574731025Z","3.954","80921","1.3",47.7681159,8.9964666,"6","1304.32"
"2","eui-70b3d57ed0044a48","2021-09-08T00:13:02.794450869Z","3.5972","80921","1.1",47.7680969,8.9964771,"7","1300.3"
"3","eui-70b3d57ed0044a37","2021-09-08T00:12:36.209352771Z","3.9393","80921","1.1",47.7680931,8.9965085,"7","1234"
"4","eui-70b3d57ed0044a36","2021-09-08T00:12:35.536710514Z","4.0518","80921","1.1",47.7681617,8.9964818,"7","1236"
"5","eui-70b3d57ed0044a52","2021-09-08T00:06:32.907492847Z","4.0322","80921","1.3",47.7681465,8.9964179,"6","631"
"6","eui-70b3d57ed0044a41","2021-09-08T00:03:03.413503958Z","4.0273","80921","1.1",47.7680969,8.9965085,"7","300.76"
"7","eui-70b3d57ed0044a2c","2021-09-07T23:54:18.863770451Z","4.0224","70921","1.8",47.7680397,8.9965066,"5","235417"
"8","eui-70b3d57ed0044a3f","2021-09-07T23:54:02.843407575Z","3.9931","70921","1.3",47.7680969,8.9964733,"6","235400.26"
"9","eui-70b3d57ed0044a2b","2021-09-07T23:50:17.697141422Z","3.9638","70921","1.1",47.7640228,8.9960317,"5","235015.91"
"10","eui-70b3d57ed004476d","2021-09-07T23:45:38.428020267Z","4.0175","70921","1.5",47.7641067,8.9953498,"6","234536.64"
"11","eui-70b3d57ed0044a55","2021-09-07T23:44:19.420346142Z","4.1202","70921","1",47.7680473,8.9964418,"5","234417.42"
"12","eui-70b3d57ed0044a51","2021-09-07T23:41:08.146888956Z","3.9784","70921","0.9",47.768135,8.996375,"5","234106.11"
"13","eui-70b3d57ed0044a54","2021-09-07T23:37:45.678862186Z","4.0029","70921","0.8",47.7680854,8.9964532,"5","233743.24"
"14","eui-70b3d57ed0044a56","2021-09-07T23:35:29.975635732Z","4.0664","70921","1",47.7680625,8.9964485,"7","233528"
"15","eui-70b3d57ed0044a31","2021-09-07T23:34:30.558969962Z","3.9491","70921","1.1",47.7681236,8.99652,"7","233428"
"16","eui-70b3d57ed0044a32","2021-09-07T23:33:56.533002916Z","3.9491","70921","1",47.7680892,8.9963636,"6","233354.29"
"17","eui-70b3d57ed0044a53","2021-09-07T23:27:25.536817599Z","4.0371","70921","1",47.7681121,8.9964933,"8","232723"
"18","eui-70b3d57ed0044a4f","2021-09-07T23:16:07.022510174Z","3.866","70921","1.2",47.7680625,8.996417,"6","231605"
"19","eui-70b3d57ed0044a4e","2021-09-07T23:12:58.382460730Z","4.0127","70921","1.4",47.7681236,8.9964418,"5","231256.58"
"20","eui-70b3d57ed0044a30","2021-09-07T23:12:40.125828517Z","4.0322","70921","1.4",47.7681999,8.9960851,"6","231237.52"
"21","eui-70b3d57ed0044a3e","2021-09-07T23:11:11.929085891Z","4.0224","70921","0.8",47.7680969,8.9965066,"5","231109.55"
"22","eui-70b3d57ed0044a4a","2021-09-07T23:09:35.159772041Z","3.9296","70921","1",47.7681541,8.9965,"7","230951"
"23","eui-70b3d57ed0044a4b","2021-09-07T23:06:35.629108027Z","3.8807","70921","0.9",47.7681045,8.9964466,"8","230636"
"24","eui-70b3d57ed0044a3c","2021-09-07T23:06:21.709376041Z","4.086","70921","2.1",47.7681579,8.996375,"6","230619.04"
"25","eui-70b3d57ed0044770","2021-09-07T23:00:23.802542799Z","3.954","70921","1.1",47.7672042,8.9954967,"6","230022"
"26","eui-70b3d57ed0044a3b","2021-09-07T22:50:46.948160039Z","4.0127","70921","1.3",47.7681007,8.9964504,"6","225044.97"
"27","eui-70b3d57ed0044a3a","2021-09-07T22:50:39.477249134Z","4.0078","70921","0.8",47.7680664,8.9965248,"6","225036.98"
"28","eui-70b3d57ed0044a40","2021-09-07T22:45:30.602183815Z","3.9931","70921","1",47.7680816,8.9965038,"7","224528.15"
"29","eui-70b3d57ed004476c","2021-09-07T22:42:01.799687947Z","3.9882","70921","1.1",47.765274,8.9983863,"6","224159.62"
"30","eui-70b3d57ed004476f","2021-09-07T22:29:38.779158355Z","3.9345","70921","1.3",47.7650375,8.9957962,"6","222936"
"31","eui-70b3d57ed0044a39","2021-09-07T22:28:13.331537980Z","3.9784","70921","0.8",47.7681427,8.9964885,"6","222810.81"
"32","eui-70b3d57ed0044a46","2021-09-07T22:27:51.039699650Z","4.1104","70921","1.2",47.7680625,8.9965848,"6","222748.65"
"33","eui-70b3d57ed0044a47","2021-09-07T22:27:32.997469166Z","3.9002","70921","0.9",47.7681465,8.9964485,"9","222730.76"
"34","eui-70b3d57ed0044a45","2021-09-07T22:26:56.867406932Z","4.0273","70921","1.3",47.7680435,8.9965362,"6","222655.06"
"35","eui-70b3d57ed0044a44","2021-09-07T22:22:10.523527588Z","4.13","70921","1.2",47.7680358,8.9964714,"6","222211.14"
"36","eui-70b3d57ed0044a43","2021-09-07T22:20:11.128350813Z","4.0322","70921","1",47.7681198,8.9964599,"6","222008.68"
"37","eui-70b3d57ed0044a42","2021-09-07T22:18:55.345669703Z","3.9589","70921","1.4",47.7681121,8.9963912,"5","221853.41"
