,id,message_time,volts,d/m/y,hdop,latitude,longitude,siv,h/m/s/cs
1,eui-70b3d57ed0044a46,2021-10-17T17:54:57.321283006Z,4.0811,171021,1.5,47.7661018,8.9950037,8,175454.53
2,eui-70b3d57ed0044a53,2021-10-17T17:49:17.897137708Z,4.1348,171021,1,47.7646865,8.996313,5,174915.71
3,eui-70b3d57ed0044a4b,2021-10-17T17:48:07.000213624Z,3.7976,171021,1,47.7680625,8.99652,8,174805
4,eui-70b3d57ed0044a52,2021-10-17T17:40:09.657630271Z,4.13,171021,2,47.7627906,8.9926595,5,174007
5,eui-70b3d57ed0044a36,2021-10-17T17:34:03.091432029Z,3.8954,171021,1.4,47.7678451,8.9959869,7,173401.09
6,eui-70b3d57ed0044a4a,2021-10-17T17:26:06.314575285Z,3.8709,171021,0.9,47.7680625,8.9964399,9,172607
7,eui-70b3d57ed0044a43,2021-10-17T17:20:37.480190096Z,3.9638,171021,0.9,47.7681007,8.9964733,9,172035
8,eui-70b3d57ed0044a31,2021-10-17T17:14:05.810555754Z,3.9589,171021,1.4,47.7652587,8.9948682,7,171404
9,eui-70b3d57ed0044770,2021-10-17T17:10:31.021526364Z,4.0127,171021,2,47.7701835,8.9946765,6,171029
10,eui-70b3d57ed0044a47,2021-10-17T16:58:36.411309998Z,3.7341,171021,1.4,47.768238,8.9964437,6,165834
11,eui-70b3d57ed004476d,2021-10-17T16:37:13.305376202Z,4.086,171021,0.8,47.7628135,8.9958686,6,163710.7
12,eui-70b3d57ed0044a54,2021-10-17T16:29:38.769326982Z,3.9784,171021,1.3,47.7681388,8.9964733,5,162936.39
13,eui-70b3d57ed0044a46,2021-10-17T15:54:41.834653089Z,4.1153,171021,1.5,47.7661018,8.9950037,5,155439.47
14,eui-70b3d57ed0044a53,2021-10-17T15:48:51.950774237Z,4.1202,171021,1,47.7646865,8.996313,6,154849.71
15,eui-70b3d57ed0044a52,2021-10-17T15:39:48.486893014Z,4.1495,171021,1.2,47.7629127,8.99269,5,153946.68
16,eui-70b3d57ed0044a4a,2021-10-17T15:25:35.272800230Z,4.0127,171021,1.5,47.7681999,8.9963378,5,152535.82
17,eui-70b3d57ed0044a43,2021-10-17T15:19:55.997449320Z,4.0469,171021,1.2,47.7684211,8.9967069,6,151953.55
18,eui-70b3d57ed0044a31,2021-10-17T15:13:24.490299149Z,4.0078,171021,1.2,47.7630653,8.995202,5,151322.21
19,eui-70b3d57ed0044770,2021-10-17T15:09:54.157145430Z,4.0713,171021,0.8,47.7681617,8.9964418,9,150952
20,eui-70b3d57ed004476d,2021-10-17T14:37:07.340665698Z,4.086,171021,0.8,47.7628135,8.9958686,8,143704.73
21,eui-70b3d57ed0044a54,2021-10-17T14:29:32.966625038Z,4.0078,171021,1.3,47.7681388,8.9964752,7,142930.36
22,eui-70b3d57ed0044a46,2021-10-17T13:54:36.834320748Z,4.1397,171021,1.5,47.7661018,8.9950037,8,135434.36
23,eui-70b3d57ed0044a53,2021-10-17T13:48:25.715951102Z,4.1495,171021,1,47.7646865,8.996313,8,134823
24,eui-70b3d57ed0044a4b,2021-10-17T13:47:30.555294590Z,3.8954,171021,1.2,47.7680397,8.9964914,5,134728.34
25,eui-70b3d57ed0044a52,2021-10-17T13:39:33.082863053Z,4.1593,171021,1.2,47.7629127,8.99269,5,133930.6
26,eui-70b3d57ed0044a36,2021-10-17T13:33:36.527147428Z,3.8954,171021,0.8,47.7649955,8.9971113,10,133334
27,eui-70b3d57ed0044a4a,2021-10-17T13:25:29.476185097Z,3.9589,171021,1.2,47.7681007,8.9963846,7,132530
28,eui-70b3d57ed0044a43,2021-10-17T13:19:50.782665516Z,4.0175,171021,1.7,47.7684211,8.9967069,5,131949
29,eui-70b3d57ed0044a49,2021-10-17T13:18:51.401068227Z,3.9296,171021,1.2,47.7625732,8.9960517,5,131848.79
30,eui-70b3d57ed0044a31,2021-10-17T13:13:18.976160211Z,3.9931,171021,1.2,47.7630653,8.995202,6,131317
31,eui-70b3d57ed0044770,2021-10-17T13:09:11.758829326Z,4.0664,171021,1.1,47.7682609,8.9964847,6,130909.17
32,eui-70b3d57ed0044a47,2021-10-17T12:58:05.261816072Z,3.8563,171021,1.1,47.7681198,8.9964237,6,125802.07
33,eui-70b3d57ed004476d,2021-10-17T12:37:01.745393210Z,4.0713,171021,0.8,47.7628135,8.9958686,9,123700
34,eui-70b3d57ed0044a54,2021-10-17T12:28:56.795307562Z,4.042,171021,1.2,47.7681198,8.9963502,6,122854.36
35,eui-70b3d57ed0044a46,2021-10-17T11:54:31.010680873Z,4.1202,171021,1.5,47.7661018,8.9950037,5,115428.5
36,eui-70b3d57ed0044a53,2021-10-17T11:48:05.144888317Z,4.1202,171021,1.5,47.7651786,8.9956769,8,114803
37,eui-70b3d57ed0044a52,2021-10-17T11:39:27.396173822Z,4.1446,171021,1.2,47.7629127,8.99269,6,113924.69
38,eui-70b3d57ed0044a43,2021-10-17T11:19:24.941761848Z,4.0566,171021,1.8,47.7682342,8.9966411,6,111922.34
39,eui-70b3d57ed0044a49,2021-10-17T11:17:48.618151863Z,3.9638,171021,0.9,47.7626953,8.9955253,5,111746.84
40,eui-70b3d57ed0044a31,2021-10-17T11:13:03.732805506Z,3.9833,171021,0.8,47.7629356,8.9949111,9,111301.44
41,eui-70b3d57ed0044770,2021-10-17T11:09:05.784314589Z,4.042,171021,1.1,47.7682609,8.9964847,9,110904
42,eui-70b3d57ed004476d,2021-10-17T10:36:19.367562530Z,4.0811,171021,1.2,47.7660217,8.9937782,7,103616.72
43,eui-70b3d57ed0044a54,2021-10-17T10:28:51.116556596Z,3.9882,171021,1.1,47.7681388,8.9964885,8,102848.37
44,eui-70b3d57ed0044a46,2021-10-17T09:54:20.741245281Z,4.0909,171021,0.8,47.7658729,8.9946413,5,95418.03
45,eui-70b3d57ed0044a53,2021-10-17T09:47:33.984936122Z,4.1153,171021,0.9,47.7647552,8.9961786,9,94732
46,eui-70b3d57ed0044a4b,2021-10-17T09:47:04.752629356Z,3.8416,171021,1,47.7681083,8.9964017,9,94703
47,eui-70b3d57ed0044a52,2021-10-17T09:39:16.332410921Z,4.1348,171021,1.2,47.7629127,8.99269,5,93913.74
48,eui-70b3d57ed0044a36,2021-10-17T09:33:00.176424173Z,3.8954,171021,1.1,47.768135,8.9957933,5,93257.96
49,eui-70b3d57ed0044a4a,2021-10-17T09:24:52.635500100Z,3.8807,171021,2.4,47.7680053,8.9968929,5,92453.82
50,eui-70b3d57ed0044a43,2021-10-17T09:19:19.297290216Z,4.0518,171021,1.8,47.7682342,8.9966411,5,91917
51,eui-70b3d57ed0044770,2021-10-17T09:08:33.780662571Z,4.0566,171021,1,47.7681083,8.9964265,6,90831.22
52,eui-70b3d57ed0044a47,2021-10-17T08:57:39.551087271Z,3.7829,171021,1.5,47.7683334,8.9972095,5,85737.19
53,eui-70b3d57ed004476d,2021-10-17T08:36:14.014868711Z,4.0811,171021,1.2,47.7660217,8.9937782,8,83611.79
54,eui-70b3d57ed0044a46,2021-10-17T07:54:14.870765450Z,4.0518,171021,0.8,47.7658729,8.9946413,5,75411.45
55,eui-70b3d57ed0044a53,2021-10-17T07:47:07.971064063Z,4.0811,171021,1.2,47.7655067,8.9968299,6,74706.09
56,eui-70b3d57ed0044a3a,2021-10-17T07:28:50.159324873Z,3.6608,171021,2.4,47.7648162,8.9849529,5,72848.31
57,eui-70b3d57ed0044a49,2021-10-17T07:17:33.141487898Z,3.9296,171021,0.9,47.7626953,8.9955253,9,71730.95
58,eui-70b3d57ed0044a31,2021-10-17T07:12:32.585250506Z,3.9491,171021,1,47.7652931,8.9950113,5,71230.59
59,eui-70b3d57ed0044770,2021-10-17T07:08:27.717299711Z,3.9638,171021,1,47.7681083,8.9964265,7,70825.12
60,eui-70b3d57ed004476d,2021-10-17T06:35:52.988069175Z,4.0762,171021,1.2,47.7660217,8.9937782,6,63550.8
61,eui-70b3d57ed0044a54,2021-10-17T06:28:14.142938343Z,3.8318,171021,1.2,47.7682418,8.9967784,5,62812
62,eui-70b3d57ed0044a46,2021-10-17T05:54:04.580669643Z,4.0664,171021,0.8,47.7658729,8.9946413,5,55401.75
63,eui-70b3d57ed0044a53,2021-10-17T05:46:42.129933858Z,4.1202,171021,1.2,47.7655067,8.9968299,7,54639.76
64,eui-70b3d57ed0044a4b,2021-10-17T05:46:33.659023529Z,3.8123,171021,0.8,47.7680854,8.9964752,9,54631.25
65,eui-70b3d57ed0044a52,2021-10-17T05:38:54.415457205Z,4.1153,171021,1.2,47.7629127,8.99269,6,53851.79
66,eui-70b3d57ed0044a36,2021-10-17T05:32:34.407511735Z,3.8905,171021,1.1,47.768135,8.9957933,5,53231.99
67,eui-70b3d57ed0044a4a,2021-10-17T05:24:37.127139217Z,3.7732,171021,1.2,47.7681236,8.9963884,7,52438
68,eui-70b3d57ed0044a43,2021-10-17T05:19:03.756764653Z,3.9345,171021,1,47.7681121,8.9964437,8,51902
69,eui-70b3d57ed0044770,2021-10-17T05:08:21.829950462Z,3.9247,171021,1,47.7681083,8.9964265,8,50820.06
70,eui-70b3d57ed0044a47,2021-10-17T04:57:34.521220368Z,3.7047,171021,1.1,47.7680511,8.9964799,7,45731.1
71,eui-70b3d57ed004476d,2021-10-17T04:35:31.988831229Z,4.0664,171021,1.2,47.7660217,8.9937782,6,43529.81
72,eui-70b3d57ed0044a46,2021-10-17T03:53:59.559918811Z,4.0469,171021,0.8,47.7658729,8.9946413,5,35357.08
73,eui-70b3d57ed0044a53,2021-10-17T03:46:37.146045431Z,4.0957,171021,1,47.7645912,8.9955463,8,34635
74,eui-70b3d57ed0044a52,2021-10-17T03:38:17.466557276Z,4.13,171021,1.2,47.7629127,8.99269,6,33814.86
75,eui-70b3d57ed0044a40,2021-10-17T03:18:02.840125026Z,3.5288,999,23.1,9.99E-05,9.99E-05,231,9.99
76,eui-70b3d57ed0044a49,2021-10-17T03:17:07.439315573Z,3.9393,171021,1.1,47.7635993,8.9977035,6,31705.05
77,eui-70b3d57ed0044a31,2021-10-17T03:12:06.961410421Z,3.9442,171021,1,47.7652931,8.9950113,7,31205
78,eui-70b3d57ed004476d,2021-10-17T02:35:10.466677916Z,4.086,171021,1.2,47.7660217,8.9937782,8,23507.81
79,eui-70b3d57ed0044a54,2021-10-17T02:27:57.822237485Z,3.7781,171021,1.4,47.7682075,8.9965248,6,22755.41
80,eui-70b3d57ed0044a46,2021-10-17T01:53:53.797726190Z,3.9638,171021,0.8,47.7658729,8.9946413,5,15352
81,eui-70b3d57ed0044a53,2021-10-17T01:46:06.139040745Z,4.1202,171021,1.1,47.7646102,8.9955902,6,14603.76
82,eui-70b3d57ed0044a4b,2021-10-17T01:46:02.387034417Z,3.7292,171021,1.1,47.7681159,8.996458,7,14600.3
83,eui-70b3d57ed0044a52,2021-10-17T01:38:07.029124573Z,4.1251,171021,1.2,47.7629127,8.99269,7,13805
84,eui-70b3d57ed0044a36,2021-10-17T01:32:03.235739010Z,3.8954,171021,1.1,47.768135,8.9957933,5,13201.03
85,eui-70b3d57ed0044a4a,2021-10-17T01:24:05.998149391Z,3.7292,171021,0.9,47.7680511,8.9964284,8,12407
86,eui-70b3d57ed0044a43,2021-10-17T01:18:32.314206189Z,3.8905,171021,1,47.7678985,8.9962587,7,11830.31
